"year_id","mx","ax","qx","n","px","lx","dx","nLx","Tx","ex","age","location_name","sex"
1975,0.0202713282803145,1.36100614070892,0.0769678479869236,4,0.923032152013076,88831.3871536241,6837.1607029077,337282.323504537,4965454.32953333,55.8975210073679,"1","Haiti","female"
1976,0.0187908455923002,1.3610166311264,0.0716122232376143,4,0.928387776762386,89233.6417113146,6390.21947053594,340070.883939062,5045111.28648818,56.538220224273,"1","Haiti","female"
1977,0.0203810196850077,1.36100172996521,0.0773630692590715,4,0.922636930740928,89276.6399800406,6906.71488199307,338879.751294959,5045889.77667661,56.5197097225513,"1","Haiti","female"
1978,0.018759756692987,1.36100947856903,0.0714993226675767,4,0.928500677332423,89591.4756601356,6405.72982648837,341461.242345592,5117022.42096877,57.1150590306175,"1","Haiti","female"
1979,0.0140669438259681,1.36095499992371,0.0542536990778659,4,0.945746300922134,90259.7305430512,4896.92425973197,348115.718688807,5267199.25523303,58.3560268077771,"1","Haiti","female"
1980,0.0120135489672968,1.36100602149963,0.046577517016821,4,0.953422482983179,90107.8967050075,4197.00209212744,349355.723571152,5311061.134591,58.9411286779692,"1","Haiti","female"
1981,0.0112897641940072,1.36103093624115,0.0438525431172572,4,0.956147456882743,90645.5487368851,3975.0378343717,352092.193075362,5368269.90390263,59.2226532765,"1","Haiti","female"
1982,0.0107168317050159,1.36095595359802,0.041688290625976,4,0.958311709374024,92071.0099398056,3838.28302059774,358154.641805308,5470770.70501626,59.4190365522541,"1","Haiti","female"
1983,0.00941234635016251,1.36100721359253,0.0367368739950296,4,0.96326312600497,93410.5331414715,3431.61098582677,364586.135928533,5579379.25452063,59.7296586036029,"1","Haiti","female"
1984,0.0102874254025434,1.36102378368378,0.0400620852640254,4,0.959937914735975,93406.0234314187,3742.04007488304,363748.938967556,5550141.01558138,59.419519338134,"1","Haiti","female"
1985,0.0126673145415317,1.36103808879852,0.0490302475645589,4,0.950969752435441,91931.2881376525,4507.4138163179,355830.259171324,5401761.41138361,58.7586829338814,"1","Haiti","female"
1986,0.0143815461635652,1.36099290847778,0.0554227258132927,4,0.944577274186707,90348.5135269189,5007.360892841,348179.593201657,5271566.76223663,58.3470226177655,"1","Haiti","female"
1987,0.013640623915161,1.36105298995972,0.0526666600250651,4,0.947333339974935,89634.19799734,4720.73383254527,346079.025556769,5268269.55329988,58.7752182872906,"1","Haiti","female"
1988,0.0115037731640414,1.36098694801331,0.0446592985393774,4,0.955340701460623,90204.0198312561,4028.44825109598,350184.951811129,5356211.2688675,59.3788533913158,"1","Haiti","female"
1989,0.0116923502449686,1.36096203327179,0.0453694558159655,4,0.954630544184034,90670.4148754016,4113.6673815048,351825.535099324,5375394.35626889,59.2849868797414,"1","Haiti","female"
1990,0.0134181935683183,1.36095595359802,0.0518371581007653,4,0.948162841899235,91425.6798745489,4739.24742212694,353195.636804405,5415900.95782398,59.2382902184101,"1","Haiti","female"
1991,0.0141898247542924,1.36100661754608,0.0547105606603915,4,0.945289439339609,91860.6981809896,5025.75030013695,354179.870940031,5457984.72245027,59.4158854714626,"1","Haiti","female"
1992,0.013835917103944,1.36101686954498,0.0533941027912825,4,0.946605897208717,92155.9531587764,4920.58443578832,355638.473317081,5514612.44708807,59.8400022794717,"1","Haiti","female"
1993,0.014793868498287,1.36098551750183,0.0569519977660664,4,0.943048002233934,91784.4580039962,5227.30824720321,353342.889847133,5444778.77353391,59.3213588873277,"1","Haiti","female"
1994,0.016998271063348,1.36095881462097,0.0650739241478198,4,0.93492607585218,90707.6971898251,5902.70580655409,347253.305030628,5341303.46791998,58.8847874369709,"1","Haiti","female"
1995,0.0180644553027573,1.36112475395203,0.0689700306156124,4,0.931029969384388,89973.3214293992,6205.46273357401,343517.843719695,5318213.11680924,59.1087783836275,"1","Haiti","female"
1996,0.0181226679792406,1.36102676391602,0.0691820252488301,4,0.93081797475117,89522.1311593999,6193.32233819869,341744.512744652,5328734.70629724,59.5242163840927,"1","Haiti","female"
1997,0.0166654034068485,1.36093652248383,0.0638532788985663,4,0.936146721101434,89650.5796893022,5724.48346831916,343495.043508322,5390210.94599313,60.1246636070144,"1","Haiti","female"
1998,0.0140773707884586,1.36088013648987,0.0542924183465796,4,0.94570758165342,90422.5126062687,4909.25688236841,348733.933071743,5502374.75006148,60.8518231960744,"1","Haiti","female"
1999,0.0108940665735016,1.36110782623291,0.0423585319080821,4,0.957641468091918,91762.0474472777,3886.90561474646,356791.064982185,5633009.31043673,61.3871362632051,"1","Haiti","female"
2000,0.00853397323949641,1.36098265647888,0.0333840408457747,4,0.966615959154225,92993.0153929169,3104.48262424889,363779.278083615,5755444.86505595,61.8911521552223,"1","Haiti","female"
2001,0.00719207018411115,1.36107659339905,0.0282324480050063,4,0.971767551994994,93451.3188586368,2638.35950067574,366842.846793186,5800311.30547658,62.0677308390979,"1","Haiti","female"
2002,0.00671040135188202,1.36110723018646,0.0263745638499221,4,0.973625436150078,93585.5221303841,2468.27732885611,367828.569324523,5847457.68933904,62.4825032358351,"1","Haiti","female"
